ST,ORI,GRP,DIV,YEAR,MSA,CD1,CD2,CD3,ADJD,OFF,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M24,F3,F4,F5,F6,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F24,AW,AB,AI,AO1,AH,AN
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",011,0,0,0,0,0,0,1,0,2,1,1,2,1,2,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,10,0,0,0,0
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",012,0,0,0,0,0,0,0,2,0,0,0,3,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,7,0,0,0,0
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",020,0,0,0,4,3,1,1,1,3,2,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",030,0,0,2,1,5,1,2,3,3,1,1,11,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,23,13,0,0,0,0
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",040,0,0,4,1,4,4,4,1,1,1,0,13,8,7,6,3,12,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,1,0,45,31,0,0,0,0
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",050,2,0,13,10,7,7,4,5,6,2,3,18,7,5,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,35,0,0,0,0
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",060,0,0,15,6,6,3,2,6,1,5,8,14,7,12,5,1,5,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,3,0,1,0,52,52,0,0,0,0
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",070,0,0,4,5,2,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",080,0,0,2,1,6,6,4,5,5,0,1,15,14,13,11,2,10,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,57,44,0,0,0,0
Alabama,AL00100,9A,East South Central,1962,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",100,0,2,0,0,1,5,1,4,1,3,1,11,5,8,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,0,2,0,0,32,24,0,0,0,0
