ST,ORI,GRP,DIV,YEAR,MSA,CD1,CD2,CD3,ADJD,OFF,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M24,F3,F4,F5,F6,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F24,AW,AB,AI,AO1,AH,AN
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",011,0,0,0,1,4,3,3,1,2,2,0,4,3,3,3,3,7,0,0,0,0,0,0,0,0,0,1,1,0,3,4,4,2,1,1,0,5,51,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",012,0,0,1,1,2,2,0,1,0,1,0,2,4,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",020,0,1,3,7,3,6,3,2,1,3,0,7,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",030,0,4,3,9,17,5,7,3,5,5,7,13,7,2,2,4,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27,73,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",040,1,1,7,7,10,11,5,9,6,3,6,13,18,18,4,22,32,0,0,0,0,0,0,2,0,1,1,2,2,6,3,6,4,3,2,0,205,0,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",050,0,0,36,50,45,24,22,15,18,17,25,63,43,25,15,10,12,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,157,268,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",060,0,0,51,42,37,34,27,23,25,28,21,78,55,48,49,18,23,0,0,0,0,0,2,1,4,3,1,5,3,12,6,14,4,1,5,0,290,330,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",070,0,0,3,5,6,2,0,4,2,3,0,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",080,0,0,9,4,17,10,15,15,15,21,12,63,48,56,41,42,50,0,1,0,2,0,8,1,3,6,3,2,3,16,8,16,13,7,13,0,277,243,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",100,0,1,1,3,4,3,6,5,11,6,7,42,23,10,21,5,8,0,0,0,0,0,0,1,0,2,1,0,1,4,2,4,1,0,2,0,127,47,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",110,0,0,1,0,0,3,0,4,5,6,4,69,40,35,28,17,30,0,0,0,0,1,1,2,3,0,3,1,1,11,6,5,6,6,3,0,231,60,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",130,0,0,0,4,6,2,3,0,2,1,1,7,8,3,3,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,30,21,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",150,0,0,0,0,0,2,0,0,1,0,1,2,1,3,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,14,15,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",170,0,0,0,4,4,3,0,1,3,0,0,6,4,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",180,0,0,0,0,0,0,0,0,1,0,0,4,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,16,4,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",190,0,0,0,0,1,3,3,2,10,2,7,28,23,21,21,18,31,0,0,0,0,2,0,0,0,0,0,0,6,0,0,2,0,0,0,0,10,170,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",200,0,0,0,5,6,13,20,22,15,23,15,66,51,55,31,21,19,0,0,0,0,1,0,1,1,2,1,0,0,6,4,2,0,0,2,0,143,239,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",210,0,0,1,0,2,2,2,1,4,7,5,27,38,47,44,32,49,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,1,3,0,234,41,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",220,0,0,1,1,3,2,1,2,4,7,2,31,19,20,27,25,66,0,0,0,0,1,0,3,0,0,0,0,1,5,3,8,5,3,10,0,106,144,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",230,0,0,4,2,3,3,9,13,18,13,14,73,74,95,59,56,94,0,0,0,0,1,2,0,3,1,1,3,3,8,8,15,10,4,3,0,459,133,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",250,0,0,2,0,0,2,1,0,0,1,3,9,17,11,14,14,22,0,0,0,0,0,0,1,0,1,0,1,0,3,2,3,3,0,3,0,68,45,0,0,0,0
Alabama,AL00100,9A,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",260,0,6,20,24,58,64,44,39,46,42,53,180,151,139,81,55,66,0,2,1,0,1,3,3,4,3,0,7,2,16,16,10,10,6,5,0,686,471,0,0,0,0
Alabama,AL00102,1C,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",011,0,0,0,1,2,3,0,1,2,2,0,6,2,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,33,0,0,0,0
Alabama,AL00102,1C,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",012,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Alabama,AL00102,1C,East South Central,1961,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",020,0,0,1,0,3,1,2,1,2,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0
