ST,ORI,GRP,DIV,YEAR,MSA,CD1,CD2,CD3,ADJD,OFF,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M24,F3,F4,F5,F6,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F24,AW,AB,AI,AO1,AH,AN
Alabama,AL00104,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",230,0,1,0,2,1,1,2,6,4,1,4,14,34,62,52,38,97,0,0,0,0,1,0,0,0,0,0,0,0,4,11,6,5,4,6,0,194,161,1,0,0,0
Alabama,AL00104,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",240,0,0,11,15,15,8,5,2,2,5,11,11,13,17,17,13,18,0,0,0,0,1,0,1,0,1,2,3,0,8,10,4,7,2,2,0,87,117,0,0,0,0
Alabama,AL00104,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",250,0,0,0,0,1,0,0,0,1,0,2,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
Alabama,AL00104,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",260,1,0,9,7,13,10,6,2,3,5,3,15,15,16,17,10,18,0,0,0,0,0,0,0,1,1,1,0,1,1,5,1,5,1,5,0,68,104,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",040,0,1,1,0,0,1,0,0,0,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",050,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",060,8,2,3,5,4,4,5,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,13,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",150,0,1,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",190,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
